code,name,industry,outstanding,totals,timeToMarket
000573,粤宏远Ａ,区域地产,6.22,6.48,19940815
600155,华创阳安,证券,11.28,17.4,19980918
300720,海川智能,电器仪表,0.18,0.72,20171106
002331,皖通科技,软件服务,2.95,3.88,20100106
600053,九鼎投资,多元金融,4.34,4.34,19970418
000698,沈阳化工,化工原料,4.32,8.2,19970220
000503,国新健康,医疗保健,8.99,8.99,19921130
000532,华金资本,元器件,3.43,3.45,19940103
600585,海螺水泥,水泥,40.0,52.99,20020207
600642,申能股份,火力发电,45.52,45.52,19930416
600856,中天能源,供气供热,11.34,13.67,19940425
002469,三维工程,建筑施工,4.63,5.03,20100908
603683,晶华新材,化工原料,0.32,1.27,20171020
600408,*ST安泰,焦炭加工,10.07,10.07,20030212
600410,华胜天成,软件服务,10.94,11.03,20040427
002611,东方精工,轻工机械,10.28,18.39,20110830
601375,中原证券,证券,11.95,38.69,20170103
300508,维宏股份,软件服务,0.26,0.91,20160419
603286,日盈电子,汽车配件,0.46,0.88,20170627
600016,民生银行,银行,354.62,437.82,20001219
002240,威华股份,家居用品,4.91,5.35,20080523
002921,联诚精密,汽车配件,0.2,0.8,20171227
300474,景嘉微,元器件,0.67,2.71,20160331
600909,华安证券,证券,27.02,36.21,20161206
600319,亚星化学,化工原料,3.16,3.16,20010326
600981,汇鸿集团,商贸代理,2.42,22.42,20040630
601881,中国银河,证券,12.29,101.37,20170123
002008,大族激光,电器仪表,9.93,10.67,20040625
600288,大恒科技,软件服务,4.37,4.37,20001129
300687,赛意信息,软件服务,0.36,1.44,20170803
601628,中国人寿,保险,208.24,282.65,20070109
300743,天地数码,电脑设备,0.17,0.65,20180427
600351,亚宝药业,中成药,6.92,7.87,20020926
601028,玉龙股份,钢加工,7.83,7.83,20111107
603026,石大胜华,化工原料,2.03,2.03,20150529
002215,诺 普 信,农药化肥,7.25,9.14,20080218
600645,中源协和,生物制药,3.84,3.84,19930504
300212,易华录,软件服务,3.66,4.51,20110505
603160,汇顶科技,元器件,2.3,4.57,20161017
600061,国投资本,证券,36.94,42.27,19970519
002456,欧菲科技,元器件,26.57,27.14,20100803
002334,英威腾,电气设备,5.78,7.54,20100113
000589,黔轮胎Ａ,汽车配件,7.75,7.75,19960308
002847,盐津铺子,食品,0.35,1.24,20170208
002817,黄山胶囊,化学制药,0.42,0.87,20161025
600795,国电电力,火力发电,196.5,196.5,19970318
002049,紫光国微,元器件,6.05,6.07,20050606
300442,普丽盛,轻工机械,0.72,1.0,20150424
002530,金财互联,专用机械,3.39,7.85,20101231
600590,泰豪科技,电气设备,8.13,8.66,20020703
000010,美丽生态,建筑施工,5.22,8.2,19951027
600048,保利地产,全国地产,117.36,118.58,20060731
300098,高新兴,通信设备,8.86,17.69,20100728
600503,华丽家族,区域地产,16.02,16.02,20020709
002347,泰尔股份,机械基件,3.19,4.49,20100128
002577,雷柏科技,电脑设备,2.81,2.83,20110428
300520,科大国创,软件服务,1.13,2.02,20160708
300011,鼎汉技术,运输设备,4.45,5.59,20091030
600333,长春燃气,供气供热,5.3,6.09,20001211
601717,郑煤机,工程机械,14.83,17.32,20100803
000686,东北证券,证券,23.4,23.4,19970227
002103,广博股份,文教休闲,3.74,5.46,20070110
002279,久其软件,软件服务,5.89,7.1,20090811
300616,尚品宅配,家居用品,0.67,1.99,20170307
603721,中广天择,影视音像,0.25,1.0,20170811
002382,蓝帆医疗,医疗保健,4.86,8.65,20100402
002500,山西证券,证券,28.29,28.29,20101115
601229,上海银行,银行,51.96,109.28,20161116
300494,盛天网络,互联网,0.88,2.4,20151231
603899,晨光文具,文教休闲,9.2,9.2,20150127
603399,吉翔股份,小金属,5.08,5.47,20120824
600622,光大嘉宝,区域地产,8.69,11.54,19921203
002841,视源股份,元器件,0.67,6.51,20170119
601988,中国银行,银行,2107.66,2943.88,20060705
300609,汇纳科技,互联网,0.53,1.01,20170215
000410,沈阳机床,机床制造,7.4,7.65,19960718
603626,科森科技,专用机械,1.58,4.16,20170209
300386,飞天诚信,软件服务,2.31,4.18,20140626
600814,杭州解百,百货,7.15,7.15,19940114
603803,瑞斯康达,通信设备,2.2,4.21,20170420
300228,富瑞特装,化工机械,4.06,4.75,20110608
600801,华新水泥,水泥,9.73,14.98,19940103
601111,中国国航,空运,94.49,145.25,20060818
600837,海通证券,证券,80.92,115.02,19940224
300348,长亮科技,软件服务,1.87,3.22,20120817
600480,凌云股份,汽车配件,3.62,4.55,20030815
300489,中飞股份,铝,0.72,0.91,20150701
000938,紫光股份,软件服务,2.89,14.59,19991104
300113,顺网科技,互联网,4.77,6.94,20100827
600578,京能电力,火力发电,53.35,67.47,20020510
002613,北玻股份,专用机械,5.1,9.37,20110830
300025,华星创业,通信设备,3.89,4.29,20091030
600365,通葡股份,红黄药酒,4.0,4.0,20010115
002861,瀛通通讯,通信设备,0.53,1.23,20170413
000407,胜利股份,供气供热,7.38,8.8,19960703
000613,大东海A,旅游服务,2.66,3.64,19970128
002474,榕基软件,软件服务,4.69,6.22,20100915
000835,长城动漫,影视音像,3.03,3.27,19990625
603677,奇精机械,机械基件,0.55,1.96,20170206
603300,华铁科技,钢加工,4.05,4.85,20150529
600716,凤凰股份,区域地产,9.1,9.36,19960702
601012,隆基股份,半导体,27.66,27.92,20120411
002657,中科金财,软件服务,2.76,3.38,20120228
603887,城地股份,建筑施工,0.81,1.44,20161010
000996,中国中期,汽车服务,3.45,3.45,20000718
300419,浩丰科技,软件服务,2.27,3.68,20150122
600695,绿庭投资,多元金融,3.66,7.11,19931122
000936,华西股份,化纤,7.48,8.86,19990810
600478,科力远,元器件,13.91,14.7,20030918
002673,西部证券,证券,35.02,35.02,20120503
002367,康力电梯,运输设备,5.21,7.98,20100312
600055,万东医疗,医疗保健,4.85,5.41,19970519
300660,江苏雷利,电气设备,0.45,1.83,20170602
300013,新宁物流,仓储物流,2.35,2.98,20091030
600068,葛洲坝,建筑施工,46.05,46.05,19970526
603355,莱克电气,家用电器,4.01,4.01,20150513
002291,星期六,服饰,3.97,3.99,20090903
000953,ST河化,农药化肥,2.94,2.94,19991202
600599,熊猫金控,多元金融,1.66,1.66,20010828
300378,鼎捷软件,软件服务,2.61,2.65,20140127
601328,交通银行,银行,392.51,742.63,20070515
002898,赛隆药业,化学制药,0.4,1.6,20170912
300249,依米康,专用机械,3.03,4.47,20110803
300002,神州泰岳,软件服务,13.94,19.61,20091030
300570,太辰光,元器件,0.95,2.3,20161206
